City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,Copiapo,CL,60.49,clear sky,-27.3667,-70.3333,Antay Casino Hotel
319,Portland,US,72.1,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
320,Kumluca,TR,68.32,broken clouds,36.3703,30.2869,TurkuazKöy
321,Burns Lake,CA,62.02,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
323,Digoin,FR,73.49,clear sky,46.4812,3.9795,Hotel Du Rond Point
325,Hobyo,SO,80.22,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
328,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
330,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
331,Kidal,ML,87.46,scattered clouds,18.4411,1.4078,
333,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
336,Presidente Olegario,BR,73.69,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
340,Schongau,DE,66.06,overcast clouds,47.8167,10.9,Hotel Alte Post
342,Akhmeta,GE,61.32,clear sky,42.0311,45.2075,Hostel Kakheti
344,Taraza,CO,88.39,broken clouds,7.5836,-75.4007,Hotel Monteverde
346,Fairbanks,US,64.36,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
348,Kavaratti,IN,83.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
349,Videira,BR,63.5,overcast clouds,-27.0083,-51.1517,Hotel das Videiras
355,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
356,Pombas,CV,73.18,scattered clouds,17.1503,-25.0201,Paul Paradis
357,Karratha,AU,77.88,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
358,Alofi,NU,69.69,clear sky,-19.0595,-169.9187,Taloa Heights
360,Abiramam,IN,84.72,overcast clouds,9.4667,78.45,
361,Kernersville,US,87.48,broken clouds,36.1199,-80.0736,"Holiday Inn Express Kernersville, an IHG Hotel"
363,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
364,Botwood,CA,68.23,overcast clouds,49.1499,-55.3482,Exploits Inn & Suites
365,Santa Maria,BR,67.3,clear sky,-29.6842,-53.8069,Hotel Morotin
367,Abu Road,IN,84.15,clear sky,24.4833,72.7833,Private Room In the Heart of the city.
368,Myitkyina,MM,72.12,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
370,Arroyo,ES,68.14,few clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
371,Isangel,VU,75.47,broken clouds,-19.55,169.2667,Tanna Lodge
372,Xichang,CN,62.71,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
373,Sal Rei,CV,75.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
375,Bohonye,HU,65.71,broken clouds,46.4134,17.3804,Kispince Wellness Borbirtok
376,Aripuana,BR,89.73,few clouds,-9.1667,-60.6333,
377,Sawakin,SD,83.66,clear sky,19.1059,37.3321,فندق الدويم
378,Curup,ID,68.05,light rain,-3.4667,102.5333,Ayi The Costel
379,Yatou,CN,61.39,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
380,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
381,Mitsamiouli,KM,81.14,few clouds,-11.3847,43.2844,Foyer ADM
382,Santa Isabel Do Rio Negro,BR,85.77,overcast clouds,-0.4139,-65.0192,Hotel GSA
384,Mwinilunga,ZM,62.37,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
385,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
387,Bundaberg,AU,63.21,overcast clouds,-24.85,152.35,Takalvan Motel
388,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
392,Fukue,JP,68.14,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
395,Poum,NC,78.33,clear sky,-20.2333,164.0167,
396,Beitbridge,ZW,62.89,clear sky,-22.2167,30.0,Beitbridge Express Hotel
397,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
398,Vao,NC,74.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
399,Zhangye,CN,67.73,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
400,Alcaniz,ES,83.73,overcast clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
402,Rio Grande,BR,68.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
403,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
404,Tema,GH,81.01,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
405,Innisfail,AU,71.2,overcast clouds,-17.5333,146.0333,Moondarra Motel
407,Rawah,IQ,87.94,clear sky,34.4816,41.9093,
409,Henties Bay,,61.81,clear sky,-22.116,14.2845,Fishermans Guest House
413,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
416,Umm Kaddadah,SD,85.5,overcast clouds,13.6017,26.6876,
418,Sao Jose Da Coroa Grande,BR,79.72,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
419,Bernardino De Campos,BR,68.79,clear sky,-23.0131,-49.4742,Seculus Pousada
420,Rosetta,EG,68.59,clear sky,31.4044,30.4164,Green Valley
422,Da Nang,VN,82.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
424,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
425,Marzuq,YE,78.53,overcast clouds,14.4,46.4667,
429,Garissa,KE,79.45,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
430,Griffith,US,64.06,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
